Geneid	SRR11047173	SRR11047174	SRR11047175	SRR11047176
AT1G01010	2.442018	2.175187	2.810471	1.765815
AT1G01020	7.729627	9.368080	10.612254	10.772738
AT1G01030	0.453186	0.919691	1.192138	1.291600
AT1G01040	6.410289	6.268826	8.380960	7.790451
AT1G01046	3.028137	4.512845	4.199879	5.450369
AT1G01050	50.514553	51.156349	50.240795	50.766590
AT1G01060	8.129233	13.528242	9.725896	13.723625
AT1G01070	1.214121	0.891218	6.062634	0.794342
AT1G01080	47.190178	61.354023	59.820332	63.459362
AT1G01090	81.133148	70.878853	89.843956	89.517296
AT1G01100	134.684738	244.374283	258.157166	174.006622
AT1G01110	1.619671	1.513330	2.503793	2.428407
AT1G01120	87.900368	49.328609	27.365309	25.202921
AT1G01130	4.685578	5.047476	4.290720	3.482751
AT1G01140	38.381432	34.783657	38.391418	36.263680
AT1G01150	0.000000	0.000000	0.173178	0.000000
AT1G01160	26.755732	32.503376	33.186565	29.135080
AT1G01170	109.038376	101.445877	104.987869	104.277298
AT1G01180	13.021587	10.732931	9.910674	8.594771
AT1G01183	0.000000	0.252519	0.000000	0.000000
AT1G01190	1.247364	0.598170	2.935210	1.382261
AT1G01200	0.875296	0.848824	1.617129	0.647916
AT1G01210	14.291444	20.277514	22.251451	15.688935
AT1G01220	6.691582	7.551154	7.094493	7.668652
AT1G01225	1.462295	2.256302	2.397690	1.886433
AT1G01230	29.544464	24.865183	25.476860	22.851957
AT1G01240	22.213305	18.481522	13.523693	13.964957
AT1G01250	5.253252	4.104441	0.950564	1.159971
AT1G01260	4.157585	4.523478	5.321970	4.317587
AT1G01270	0.000000	0.000000	0.000000	0.000000
AT1G01280	0.000000	0.000000	0.000000	0.000000
AT1G01290	10.191468	9.965228	10.605698	9.346518
AT1G01300	22.602329	26.353859	36.458256	24.055567
AT1G01305	0.000000	0.000000	0.000000	0.000000
AT1G01310	0.000000	0.000000	0.000000	0.000000
AT1G01320	50.897305	62.128105	59.145424	66.597488
AT1G01335	0.348042	0.000000	0.000000	0.000000
AT1G01340	2.672580	2.586544	1.411683	2.370425
AT1G01350	10.409111	11.653724	11.228922	9.828162
AT1G01355	0.209963	0.000000	0.000000	0.237169
AT1G01360	13.560072	12.531654	10.577198	10.101079
AT1G01370	1.690553	1.813562	3.579393	1.728001
AT1G01380	0.514237	0.788308	1.721399	1.066176
AT1G01390	1.772995	1.792966	3.519572	6.341990
AT1G01400	0.000000	0.000000	0.000000	0.000000
AT1G01410	0.000000	0.000000	0.000000	0.000000
AT1G01420	7.513318	7.421481	7.113075	7.308111
AT1G01430	47.562660	36.800003	31.582403	29.268206
AT1G01440	6.369452	6.023843	5.703027	5.774683
AT1G01448	5.698858	5.803198	6.304403	6.108740
AT1G01450	0.343040	0.321851	0.650536	0.468918
AT1G01453	0.000000	0.000000	0.000000	0.000000
AT1G01460	0.000000	0.000000	0.000000	0.000000
AT1G01470	81.965652	51.290203	41.319740	45.059315
AT1G01480	0.000000	0.930640	0.000000	0.865775
AT1G01490	66.516090	58.075451	60.666847	54.086548
AT1G01500	10.894727	10.105763	8.140628	7.427293
AT1G01510	10.527093	11.173556	11.785235	10.578129
AT1G01520	1.207852	1.851165	0.757899	2.182518
AT1G01530	0.000000	0.000000	0.000000	0.000000
AT1G01540	42.684559	37.216675	32.076378	33.612175
AT1G01550	83.660088	72.307281	66.301605	66.079010
AT1G01560	1.341781	13.630534	1.328084	2.507069
AT1G01570	0.229597	0.000000	0.506251	0.264125
AT1G01580	0.307193	0.202747	0.000000	0.212946
AT1G01590	0.494939	0.759221	0.000000	0.000000
AT1G01600	1.659157	2.939210	4.974365	1.565880
AT1G01610	22.964708	17.704224	21.557354	19.732456
AT1G01620	272.685242	215.921631	164.476669	159.288467
AT1G01630	36.315296	29.243656	24.899876	26.390635
AT1G01640	3.827264	3.250046	3.666978	2.248105
AT1G01650	16.826309	14.311416	14.416318	15.240198
AT1G01660	1.304981	1.775732	1.242049	1.269343
AT1G01670	2.838328	2.990266	2.184788	2.437126
AT1G01680	0.748276	44.112511	0.906445	2.399310
AT1G01690	1.138177	1.786875	3.001456	1.425569
AT1G01695	0.435683	0.319265	0.310902	0.162599
AT1G01700	0.797472	1.017050	1.158854	1.185750
AT1G01710	17.058575	15.519440	19.400370	17.744938
AT1G01715	2.398106	4.313795	4.220413	3.203770
AT1G01720	11.162333	16.591227	12.875722	17.702942
AT1G01725	9.230745	10.893337	11.786503	10.201158
AT1G01730	14.582581	15.386688	19.020226	14.040357
AT1G01740	3.210035	3.224423	3.478239	4.070184
AT1G01750	0.432076	0.329703	0.508416	0.772624
AT1G01760	1.560910	1.503930	1.107681	1.645647
AT1G01770	6.866978	6.517477	5.104792	6.081524
AT1G01780	5.723365	9.781982	7.616491	7.280722
AT1G01790	34.162838	30.645863	32.143997	41.414146
AT1G01800	48.941059	40.562267	45.836861	46.910515
AT1G01810	0.441582	2.640341	1.649356	0.849476
AT1G01820	40.285004	41.810493	39.642162	41.696175
AT1G01830	7.077501	6.593222	5.258266	5.090086
AT1G01840	0.430176	1.683276	0.718267	0.697566
AT1G01860	9.942123	11.196942	11.005934	11.916304
AT1G01870	0.000000	0.000000	0.000000	0.000000
AT1G01880	0.437370	0.928635	0.934021	0.406840
AT1G01890	0.000000	0.000000	0.000000	0.000000
AT1G01900	1.128634	2.843075	1.853380	1.677709
AT1G01910	20.138096	20.243336	17.790159	17.831457
AT1G01920	8.062376	8.454052	10.859025	7.649413
AT1G01930	6.024065	6.164344	5.856483	5.625283
AT1G01940	16.212442	15.014493	17.154072	13.541384
AT1G01950	5.531622	5.470099	6.851488	5.877187
AT1G01960	9.679331	8.361603	9.882512	8.896263
AT1G01970	14.788746	17.726458	18.421946	21.006096
AT1G01980	0.000000	0.000000	0.000000	0.000000
AT1G01990	17.399771	17.132639	17.295128	18.301516
AT1G02000	5.368403	4.644366	4.289140	5.083742
AT1G02010	3.670491	4.203207	4.844935	4.939322
AT1G02020	7.340470	7.375546	7.973651	7.653539
AT1G02030	0.000000	0.000000	0.000000	0.000000
AT1G02040	0.000000	0.000000	0.000000	0.000000
AT1G02050	4.972598	5.596087	8.021487	6.858301
AT1G02060	2.035148	2.240703	3.332445	2.627616
AT1G02065	0.323444	0.766964	2.175943	1.102041
AT1G02067	0.000000	0.000000	0.000000	0.000000
AT1G02070	0.000000	0.641092	1.246109	0.164756
AT1G02080	9.318450	9.368855	11.419095	10.438858
AT1G02090	23.082647	30.861755	31.424965	28.407602
AT1G02100	30.802691	28.326756	35.109753	32.622402
AT1G02110	8.639241	9.544945	11.759814	12.223832
AT1G02120	43.875782	38.496243	45.484909	46.584953
AT1G02130	28.730583	29.881767	28.111877	26.205107
AT1G02140	87.040016	89.821388	94.909256	83.770576
AT1G02145	14.303353	12.608377	14.843291	13.123679
AT1G02150	36.229465	49.700394	52.100216	50.543591
AT1G02160	27.157488	29.099380	26.338951	24.782253
AT1G02170	20.462080	20.044003	15.986835	16.245272
AT1G02180	3.710374	4.537574	5.871384	3.976525
AT1G02190	0.000000	0.000000	0.204231	0.000000
AT1G02205	24.720613	39.526722	16.650928	5.784939
AT1G02210	0.000000	0.000000	0.000000	0.000000
AT1G02220	1.368583	4.005003	1.168812	2.342131
AT1G02230	0.446202	0.727820	0.177069	0.602340
AT1G02250	0.000000	0.000000	0.000000	0.000000
AT1G02260	7.402419	7.691208	7.818364	7.683277
AT1G02270	14.142650	21.567142	10.710505	10.970645
AT1G02280	30.829388	49.547756	50.430714	44.411263
AT1G02290	3.897207	3.588370	4.448070	3.745464
AT1G02300	28.804146	25.744545	20.923643	22.455910
AT1G02305	54.276485	52.153881	54.531796	48.530205
AT1G02310	0.000000	0.166783	0.000000	0.000000
AT1G02320	0.000000	0.000000	0.000000	0.000000
AT1G02330	11.383289	16.916439	17.518259	13.242021
AT1G02335	1.579725	1.943653	1.747284	2.240759
AT1G02340	19.451437	9.214734	6.389309	4.796728
AT1G02350	4.386527	3.294341	3.276612	4.549854
AT1G02360	2.473196	0.708875	1.819341	2.402408
AT1G02370	2.096053	3.317912	4.472260	2.820821
AT1G02380	3.022841	1.827518	1.402728	1.331400
AT1G02390	2.190703	1.764064	1.307651	1.190169
AT1G02400	1.877089	1.997646	1.728236	0.694676
AT1G02405	2.474839	1.335506	0.815481	0.761378
AT1G02410	12.207757	12.918763	11.936539	12.707248
AT1G02420	1.138482	1.241610	0.575735	1.366286
AT1G02430	0.000000	0.871418	0.517167	0.442066
AT1G02440	0.983176	1.096840	0.171675	0.252697
AT1G02450	2.729590	10.992882	2.692730	9.660066
AT1G02460	0.500803	0.190921	0.000000	0.634888
AT1G02470	3.336463	6.831488	3.326037	2.157359
AT1G02475	68.158279	60.986427	51.089722	62.426334
AT1G02480	0.000000	0.000000	0.000000	0.000000
AT1G02490	0.000000	0.000000	0.331995	0.387866
AT1G02500	181.921432	196.394287	186.581879	187.503021
AT1G02510	0.000000	0.000000	0.000000	0.000000
AT1G02520	0.000000	0.574167	0.223003	0.000000
AT1G02530	0.000000	0.000000	0.000000	0.000000
AT1G02540	0.000000	0.000000	0.000000	0.000000
AT1G02550	0.000000	0.000000	0.000000	0.000000
AT1G02560	157.540634	190.385941	155.309219	159.367767
AT1G02570	0.000000	0.000000	0.000000	0.000000
AT1G02575	0.000000	0.000000	0.000000	0.000000
AT1G02580	0.000000	0.000000	0.000000	0.000000
AT1G02590	0.000000	0.000000	0.000000	0.000000
AT1G02600	0.000000	0.000000	0.000000	0.000000
AT1G02610	4.260152	3.140044	3.580823	3.898582
AT1G02620	0.524936	0.471028	0.532267	0.398055
AT1G02630	0.000000	0.000000	0.521200	0.000000
AT1G02640	3.030046	7.455668	3.247843	3.068187
AT1G02650	0.211350	0.255507	0.000000	0.263128
AT1G02660	6.122612	3.915011	2.485122	3.388510
AT1G02670	0.607743	0.886748	0.900762	0.830739
AT1G02680	9.311667	8.751030	10.511660	7.929253
AT1G02690	1.958880	2.742531	6.913468	2.400670
AT1G02700	0.734585	0.549796	0.512883	0.658065
AT1G02705	3.742272	6.755178	3.220256	4.907137
AT1G02710	0.000000	0.000000	0.000000	0.000000
AT1G02720	4.090987	5.360101	4.951472	5.305325
AT1G02730	2.198209	3.387972	7.149185	3.058452
AT1G02740	5.179686	7.603668	5.523468	4.626630
AT1G02750	9.055309	9.743733	9.468632	9.994060
AT1G02760	0.000000	0.000000	0.000000	0.000000
AT1G02770	0.452483	0.168014	0.000000	0.332512
AT1G02780	341.552185	560.573975	551.456909	411.503998
AT1G02790	0.434743	0.000000	0.000000	0.000000
AT1G02800	0.000000	0.922444	3.710361	1.729452
AT1G02810	0.000000	0.297019	0.564516	0.286914
AT1G02813	0.000000	0.000000	0.000000	0.000000
AT1G02816	11.022101	9.509216	5.823899	6.269848
AT1G02820	7.711953	13.454540	0.887795	4.126800
AT1G02830	0.000000	0.000000	0.000000	0.000000
AT1G02840	56.015774	66.424286	82.416046	72.529633
AT1G02850	10.943612	10.930284	9.108775	10.021201
AT1G02860	10.037921	8.041415	7.059734	6.015152
AT1G02870	12.950400	21.522394	25.475325	16.471861
AT1G02880	12.769880	11.712394	11.898527	12.488319
AT1G02890	16.085566	14.053694	15.316556	16.485302
AT1G02900	1.842709	3.021846	2.160336	0.529381
AT1G02910	32.632717	34.464897	29.932467	34.806583
AT1G02920	36.722916	19.230427	38.927074	43.621258
AT1G02930	61.955135	22.416248	64.286575	63.763939
AT1G02940	0.282128	0.208508	0.503279	0.000000
AT1G02950	0.697566	0.863886	0.827842	0.584154
AT1G02952	0.000000	0.000000	0.000000	0.000000
AT1G02960	10.680643	10.418541	11.150857	10.528193
AT1G02965	0.000000	0.000000	0.000000	0.000000
AT1G02970	0.550501	0.733395	1.624626	0.930743
AT1G02980	0.000000	0.000000	0.000000	0.000000
AT1G02990	3.576414	3.530455	3.429290	3.499029
AT1G03000	8.324945	8.134881	8.551598	8.687652
AT1G03010	4.042299	1.292977	0.345710	1.897794
AT1G03020	0.828734	1.689407	0.598095	0.000000
AT1G03030	10.094121	10.222486	10.425975	12.111228
AT1G03040	21.687529	24.483461	25.805210	21.931984
AT1G03050	0.000000	0.205332	0.000000	0.000000
AT1G03055	6.675500	7.052414	6.622507	9.677141
AT1G03060	3.706223	3.209369	3.221249	3.652316
AT1G03070	0.000000	0.246083	0.172612	0.277262
AT1G03080	11.554832	11.229659	11.044559	10.601190
AT1G03090	8.720737	8.230838	10.210752	12.535450
