task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
2	3f/80e81d	237	NFCORE_RNASEQ:PREPARE_GENOME:CUSTOM_GTFFILTER (annotation.filtered)	CACHED	0	2026-05-18 14:20:42.515	24.2s	23s	18.4%	11.9 MB	15 MB	377.5 MB	256 MB
6	46/15ff7b	389	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR11047176)	CACHED	0	2026-05-18 14:29:07.901	4m 10s	4m 9s	40.9%	76 MB	80 MB	4.7 GB	1.7 KB
4	78/3afb38	492	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR11047174)	CACHED	0	2026-05-18 14:33:17.711	4m 47s	4m 46s	36.3%	76.1 MB	80 MB	4.8 GB	1.7 KB
5	14/f56073	307	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR11047175)	CACHED	0	2026-05-18 14:24:41.028	4m 27s	4m 26s	40.6%	76.1 MB	80 MB	5 GB	1.7 KB
3	72/05c2c6	158	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FQ_LINT (SRR11047173)	CACHED	0	2026-05-18 14:20:39.700	4m 1s	4m	39.5%	75.9 MB	80 MB	4.5 GB	1.7 KB
1	2e/da7924	170	NFCORE_RNASEQ:PREPARE_GENOME:SAMTOOLS_FAIDX (genome.fa)	CACHED	0	2026-05-18 14:20:39.728	2.8s	1.7s	27.5%	5.8 MB	11.2 MB	116.2 MB	2.8 KB
10	56/9e3350	540	NFCORE_RNASEQ:PREPARE_GENOME:HISAT2_EXTRACTSPLICESITES (annotation.filtered.gtf)	CACHED	0	2026-05-18 14:38:04.779	13.8s	12.7s	34.2%	74.3 MB	81.7 MB	257.2 MB	2.7 MB
9	ba/4bfa00	586	NFCORE_RNASEQ:PREPARE_GENOME:MAKE_TRANSCRIPTS_FASTA (rsem/genome.fa)	CACHED	0	2026-05-18 14:38:18.619	3m 45s	3m 44s	10.8%	300 MB	378.8 MB	544.9 MB	457.6 MB
11	18/dcca06	682	NFCORE_RNASEQ:PREPARE_GENOME:EAUTILS_GTF2BED (annotation.filtered)	CACHED	0	2026-05-18 14:42:04.036	19.6s	18s	44.0%	636.9 MB	649.3 MB	256.2 MB	5.4 MB
8	82/fa62aa	930	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR11047176)	CACHED	0	2026-05-18 15:24:06.534	16m 53s	16m 51s	52.5%	1.2 GB	15.3 GB	3.2 GB	3.6 MB
18	d0/c7cdd8	1021	NFCORE_RNASEQ:PREPARE_GENOME:HISAT2_BUILD (genome.fa)	CACHED	0	2026-05-18 15:58:06.246	59.7s	58.5s	202.7%	437.1 MB	958.7 MB	689.4 MB	633.8 MB
17	e5/be368d	976	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR11047174)	CACHED	0	2026-05-18 15:40:59.310	17m 7s	17m 6s	53.1%	1.6 GB	15.4 GB	3.2 GB	3.6 MB
14	58/1c8d8d	836	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR11047175)	CACHED	0	2026-05-18 14:59:56.800	17m 42s	17m 41s	52.2%	1.3 GB	15.4 GB	3.3 GB	3.6 MB
12	30/20b482	726	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:FASTQC (SRR11047173)	CACHED	0	2026-05-18 14:42:23.637	17m 33s	17m 32s	48.9%	1.2 GB	15.4 GB	3 GB	3.5 MB
16	ed/cd61b7	774	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11047174)	CACHED	0	2026-05-18 14:49:33.212	8m 34s	8m 32s	65.4%	34 MB	344.8 MB	8.5 GB	5.3 GB
7	26/d0eab8	636	NFCORE_RNASEQ:RNASEQ:FASTQ_QC_TRIM_FILTER_SETSTRANDEDNESS:FASTQ_FASTQC_UMITOOLS_TRIMGALORE:TRIMGALORE (SRR11047176)	CACHED	0	2026-05-18 14:41:08.690	8m 24s	8m 23s	65.2%	34.4 MB	344.8 MB	8.5 GB	5.3 GB
